docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"nbBwZ6kWz4fTnjhLDNjV","UK17589","כיפה פריק 21 ס""מ לבן פסים תכלת","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ncBsPKPnIRf2kEXYLIHP","UK18193","כיפה ד.מ.צ. שחור עם פס אפור 20 ס""מ","63.2","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ncxUj4y8Cs1cA9QXZvJi","UK19158","כיפה פריק 26 ס""מ גוונים","26.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nh7tIpdDUrelt3564Bop","UK16353","כיפה סרוגה 17 ס""מ לבן מחורר","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"nvT6Zvna16OEZL7umdtj","UK10188","כיפה קטיפה ""ארט-מן"" עם ריקמה יחי אדוננו גודל 4 - לבן","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oAtmLXhrw8ZL3hsKhbi6","UK16039","כיפה ירושלמית לבן חלק 22 ס""מ","26.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oI1yEGc1vMjsvWvrJLX3","UK00323","כיפה סטן לבן ""מעויינים"" 16 ס""מ","6.87","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oJ9ci0JFsCVh0HJS6S8Z","UK10098","כיפה ארטמן קטיפה בבא סאלי כחול רקמה זהב גודל 4","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oYCufJBf0SpSR8wgMpBm","UK19857","כיפת קטיפה שחורה 1/4 משובץ גודל 3 - 19 ס""מ","8.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oZ0qPl5sPmHGp83FOYIR","UK80472","כלי לבשמים מקריסטל עם פלקטה ""עיטור"" 8X6 ס""מ","108.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80472&lang=he","C","not_found_after_normalization","",""
"oaQY00ANnN1bTNeTZ3nM","UK16295","כיפה סרוגה 16 ס""מ לבן עם ריקמה כסף ""אין עוד מלבדו""","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"obbim4VQwEKN01YjJdGS","UK14948","כיפה קטיפה ""ארט-מן"" עם ריקמה מגן דוד גודל 4 - א","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"of8aUwzWVuexfFMvtrGh","UK16357","כיפה סרוגה 17 ס""מ שחור מסביב פס כסף","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ogzRLrj58SzIvcoIcTed","UK15695","כיפה טרילין שחור 21 ס""מ מס 6 - 6 חלקים","19.47","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"oi2syTrvKKJKFI6fHlUs","UK81082","סט הבדלה מהודר קריסטל עם מגש 34x15 ס""מ","356.38","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81082&lang=he","C","not_found_after_normalization","",""
"oo2KR7U3UBGzpZ9e4a17","UK10520","כיפה קטיפה ""ארט-מן"" עם אותיות בולטות זהב ""בבא סאלי"" גודל 4 - שחור","43.58","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"ovELvzu6RsVBPDNeD30D","UK48864","","54.48","","israel-judaica","","C","not_found_after_normalization","",""
"pEmy4D4CtCR6DDNb2jnP","UK16394","כיפה ""מופת"" קטיפה שחורה גודל 3 19 ס""מ - 6 חלקים ללא סרט","11.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"pM6vmhZJ6EgSHiuN0VX1","UK83142","סט פולימר מגש להדלקת נרות וזוג פמוטים מהודרים","239.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK83142&lang=he","C","not_found_after_normalization","",""
"pQH89t2LP3K0Syr2xfsl","UK55810","כלי עם מיני בשמים ""עם פרחים"" מקריסטל עם פלקטה 8X6 ס""מ","108.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK55810&lang=he","C","not_found_after_normalization","",""
"pc7AtNS83yyPdNhZVY2K","UK40660","סט הבדלה 4 חלקים מהגוני + 3 רגליים","356.38","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40660&lang=he","C","not_found_after_normalization","",""
"plCl2ogsLu8aZXJC3lOP","UK19094","כיפה קטיפה ארטמן כחולה 4 חלקים עם סרט גודל 2","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"plmYTewzmxR8lq2kCN3s","UK18196","כיפה ד.מ.צ. שחור עם פס כחול 20 ס""מ","63.2","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"q2EM29sUNuLzWkId3YnC","UK10283","כיפה קטיפה ""ארט-מן"" עם ריקמה רבי שמעון גודל 3 - ורוד","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"q40yXvCvnAEDZNCXMrJ8","UK53322","""כיפהאייר"" סיכה לכיפה עם דבק דו צדדי","5.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
