doc_id,our_name,paldinox_name,match_confidence,match_score,paldinox_sku,sku_method,source_url,cat,price
"3DJMcIsVL1jZdxwi80S6","קערה לפונטש בסיס רחב – זהב","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a7%d7%a2%d7%a8%d7%94-%d7%9c%d7%a4%d7%95%d7%a0%d7%98%d7%a9-%d7%91%d7%a1%d7%99%d7%a1-38-%d7%a1%d7%9e-%d7%96%d7%94%d7%91/","כלי שולחן והגשה","435.76"
"3OLOPgvnT2ynVdo73jW3","מגש מלבני זכוכית Ella Grey – 39×13.5 ס""מ","Ella grey מגש מלבני זכוכית 39/13.5 ס”מ","fuzzy","0.84","","HTTP_404","https://paldinox.co.il/product/ella-grey-%d7%9e%d7%92%d7%a9-%d7%9e%d7%9c%d7%91%d7%a0%d7%99-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-39-13-5-%d7%a1%d7%9e/","כלי שולחן והגשה","84.8"
"3UXuFs1kxaVxvH8TUNzH","סט 18 זר גלדיולות לבן מלאכותי","","url_only","","","HTTP_404","https://paldinox.co.il/product/h56-%d7%a1%d7%98-18-%d7%96%d7%a8-%d7%92%d7%9c%d7%93%d7%99%d7%95%d7%9c%d7%94-%d7%9c%d7%91%d7%9f/","עיצוב הבית","1956.7"
"3V6qEEN4ak8lJRW6MSoI","הוריקן עץ וזכוכית לנר – גובה 30 ס""מ","","url_only","","","HTTP_404","https://paldinox.co.il/product/h30-%d7%a1%d7%9e-%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%a2%d7%a5-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa4-2/","עיצוב הבית","345.68"
"3bmONw9zEnJZLJ82G4aT","עששית עגולה מתכת שחורה","","url_only","","X2460B","json-ld","https://paldinox.co.il/product/h9-5d8-5-%d7%a2%d7%a9%d7%a9%d7%99%d7%aa-%d7%a2%d7%92%d7%95%d7%9c%d7%94-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a9%d7%97%d7%95%d7%a8-2/","עיצוב הבית","43.49"
"3eymHg1xI1VxkzPdaqKy","זוג עציצי סחלב סגולים","","url_only","","X4215KS","json-ld","https://paldinox.co.il/product/h65-%d7%96%d7%95%d7%92-%d7%a2%d7%a6%d7%99%d7%a5-%d7%a1%d7%97%d7%9c%d7%91-%d7%a1%d7%92%d7%95%d7%9c-2/","עיצוב הבית","367.42"
"4BZHM00kMJwxCruefCcu","עגלת הגשה 4 קומות עגולה לבן","","url_only","","P430GW","json-ld","https://paldinox.co.il/product/%d7%a1%d7%984-%d7%a2%d7%92%d7%9c%d7%94-%d7%9c%d7%99%d7%a8%d7%a7%d7%95%d7%aa-%d7%a2%d7%92%d7%95%d7%9c%d7%94-4%d7%a7%d7%95%d7%9e%d7%95%d7%aa-%d7%9c%d7%91%d7%9f-2/","כלי שולחן והגשה","847.89"
"4bSDjGF2mPSR7RBG6a8e","סט 6 כוסות זכוכית אמבר בעיצוב יהלום עם פס זהב","","url_only","","","HTTP_404","https://paldinox.co.il/product/320-%d7%9e%d7%9c-%d7%a1%d7%98-6-%d7%9b%d7%95%d7%a1%d7%95%d7%aa-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%90%d7%9e%d7%91%d7%a8-%d7%a6%d7%95%d7%a8%d7%aa-%d7%99%d7%94%d7%9c%d7%95%d7%9d/","כלי שולחן והגשה","193.5"
"4hMI7EQOJsdqruB0orF1","סט קריסטל לחתן וכלה – פמוטים וכוס קידוש","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a1%d7%98-%d7%a7%d7%a8%d7%99%d7%a1%d7%98%d7%9c-%d7%9c%d7%9b%d7%9c%d7%94-%d7%96%d7%95%d7%92-%d7%a4%d7%9e%d7%95%d7%98%d7%99%d7%9d-%d7%9b%d7%95%d7%a1-%d7%a7%d7%99%d7%93%d7%95%d7%a9-%d7%9e%d7%92%d7a--2/","כלי שולחן והגשה","410.91"
"4mj8SPQVZPj1g8aExnEY","קערה על רגל עם ציפוי צדף פנינה – אלומיניום","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a7%d7%a2%d7%a8%d7%94-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%a6%d7%93%d7%a3-%d7%a4%d7%a0%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%98%d7%a8-30-%d7%a1%d7%9e-%d7%92%d7%95%d7%91/","כלי שולחן והגשה","226.48"
"4s2Ace4v2YGw1KYEht0r","סט 2 צלחות מתכת עגולות שחור – 30 ו-25 ס""מ","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a1%d7%98-2-%d7%a6%d7%9c%d7%97%d7%95%d7%aa-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a2%d7%92%d7%95%d7%9c%d7%95%d7%aa-%d7%a9%d7%97%d7%95%d7%a8-%d7%a7%d7%95%d7%98%d7%a8-30-25-%d7%a1%d7%9e-2/","כלי שולחן והגשה","97.84"
"4y2kDdb8NfLchB3PNPzE","מגש ענתיק כסף עם עיטור רימון","","url_only","","","HTTP_404","https://paldinox.co.il/product/5837-%d7%9e%d7%92%d7%a9-%d7%a2%d7%a0%d7%aa%d7%99%d7%a7-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%9b%d7%a1%d7%a3-%d7%a8%d7%99%d7%9e%d7%95%d7%9f-2/","כלי שולחן והגשה","304.39"
"5JoMFEybiAffRDAi98ax","מעמד קומותיים עגול בניקל","","url_only","","","HTTP_404","https://paldinox.co.il/product/h34d20-%d7%9e%d7%a2%d7%9e%d7%93-%d7%a7%d7%95%d7%9e%d7%95%d7%aa%d7%99%d7%99%d7%9d-%d7%a2%d7%92%d7%95%d7%9c-%d7%a0%d7%99%d7%a7%d7%9c/","עיצוב הבית","195.96"
"5fcISMjxhZ92SSi0Abtz","קופסת טישו בטקסטורת נחל בז' עם מכסה זכוכית","","url_only","","","HTTP_404","https://paldinox.co.il/product/%d7%a7%d7%95%d7%a4%d7%a1%d7%90-%d7%9c%d7%98%d7%99%d7%a9%d7%95-%d7%91%d7%a1%d7%99%d7%a1-%d7%97%d7%9c%d7%95%d7%a7%d7%99-%d7%a0%d7%97%d7%9c-%d7%91%d7%96-%d7%9e%d7%9b%d7%a1%d7%94-%d7%96%d7%9b%d7%95/","עיצוב הבית","315.84"
"5v3nvjxoXrljoHmZvCH5","סט 6 חבקי מפיות יהלום זהב","","url_only","","X4903","json-ld","https://paldinox.co.il/product/%d7%a1%d7%986-%d7%97%d7%91%d7%a7%d7%99%d7%9d-%d7%9c%d7%9e%d7%a4%d7%99%d7%95%d7%aa-%d7%99%d7%94%d7%9c%d7%95%d7%9e%d7%99%d7%9d-%d7%96%d7%94%d7%91-4-3%d7%a1%d7%9e-2/","כלי שולחן והגשה","150.01"
"5zDDG5lLdqXsAmDS77bl","מעמד לנר סגור מברזל","","url_only","","X1511A","json-ld","https://paldinox.co.il/product/h17-%d7%9e%d7%a2%d7%9e%d7%93-%d7%9c%d7%a0%d7%a8-%d7%a1%d7%92%d7%95%d7%a8-%d7%91%d7%a8%d7%96%d7%9c-9-5-%d7%a1%d7%9e16-2/","עיצוב הבית","108.74"
