supplier,sku,sourceUrl,name
"paldinox","","https://paldinox.co.il/product/סט-6-צלחות-לעוגה-קוטר-17-סמ-זכוכית-אפורה-גב",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-קלאסי-גובה-26-סמ-2",""
"paldinox","","https://paldinox.co.il/product/d24-קערה-זכוכית-לסלט-2",""
"paldinox","","https://paldinox.co.il/product/מערכת-אוכל-זכוכית-18-חלקים-kim-grey-גבישי-אפורה",""
"paldinox","","https://paldinox.co.il/product/floral-6-קערות-וורוד-15-סמ-2",""
"paldinox","","https://paldinox.co.il/product/גלאסיאר-קערה-מחולקת-רגל-280-4",""
"paldinox","","https://paldinox.co.il/product/h34-פמוט-מתכת-ורוד-home-decor",""
"paldinox","","https://paldinox.co.il/product/סט-6-מאג-violet-spring-לילך-צבעוני-355-מל-new-bone-china",""
"paldinox","","https://paldinox.co.il/product/אובליסק-זכוכית-אפור-10-10-סמ-גובה-41-סמ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-מלבני-שקוף-4-4-סמ-גובה-14-5-סמ",""
"paldinox","","https://paldinox.co.il/product/lilylotus-זוג-צלחות-לילך-צבעוני-קוטר-32-סמ",""
"paldinox","","https://paldinox.co.il/product/מסגרת-תמונה-דמוי-טרוורטין-5-18-גובה-23-סמ",""
"paldinox","","https://paldinox.co.il/product/300ml-סט6-ליפתניות-יהלום-פס-זהב-new-york-2",""
"paldinox","","https://paldinox.co.il/product/berry-blues-כלי-לאחסון-כחול-1600-מל",""
"paldinox","","https://paldinox.co.il/product/berry-blues-סט-4-סוכרון-כחול-300-מל",""
"paldinox","","https://paldinox.co.il/product/berry-blues-סט-6-צלחת-מנה-עיקרית-ירוק-קוטר-26-5-סמ",""
"paldinox","","https://paldinox.co.il/product/berry-blues-זוג-ספלי-אספרסותחתיות-כחול-120-מל",""
"paldinox","","https://paldinox.co.il/product/love-birds-שש-יחידות-ספל-אספרסותחתיות-ירוק-125-מל",""
"paldinox","","https://paldinox.co.il/product/berry-blues-זוג-2-קערות-כחול-קוטר-18-סמ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-מתכת-אדום-גובה-24-סמ-קוטר-18-סמ",""
"paldinox","","https://paldinox.co.il/product/royal-winter-white-אגרטל-שטוח-זהב-לבן-גובה-16-5-סמ-15-5-4-5-סמ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-מתכת-כחול-גובה-42-סמ-קוטר-31-5-סמ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-מתכת-ירוק-גובה-40-סמ-קוטר-24-סמ",""
"paldinox","","https://paldinox.co.il/product/מערכת-אוכל-18-חלקים-royal-lace-לבן-זהב-קוטר-28-18-22-סמ-new-bone-ch",""
"paldinox","","https://paldinox.co.il/product/56x35-קערה-קריסטל-עלה-זהב-madagascar-2",""
"paldinox","","https://paldinox.co.il/product/lunar-אגרטל-קריסטל-גובה-28-סמ-14-5-14-5-סמ",""
"paldinox","","https://paldinox.co.il/product/מעמד-לעציץ-עגול-מתכת-אפור-על-רגל-קוטר-25-5-ג",""
"paldinox","","https://paldinox.co.il/product/סט-2-מעמד-לעציץ-מלבני-מתכת-אפור-גובה1-65-סמ-51-2",""
"paldinox","","https://paldinox.co.il/product/סט-2-צלחות-מתכת-עגולות-אפור-קוטר-30-25-סמ",""
"paldinox","","https://paldinox.co.il/product/lilylotus-שש-יחידות-ספלי-אספרסותחתית-לילך-צב",""
"paldinox","","https://paldinox.co.il/product/מערכת-אוכל-18-חלקים-urban-שחור-זהב-לבן-קוטר-28-18-22-ס",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-ענבר-מעוצב-כעיגול-על-בסיס",""
"paldinox","","https://paldinox.co.il/product/גלאסיאר-מאפרה-130-2",""
"paldinox","","https://paldinox.co.il/product/40-25-מגש-מראה-כדורים-מעקה-שחור",""
"paldinox","","https://paldinox.co.il/product/40x18-מגש-מלבני-מראה-ניקל-2",""
"paldinox","","https://paldinox.co.il/product/40-30-מגש-מראה-עיטור-יהלומים-זהב",""
"paldinox","","https://paldinox.co.il/product/מגש-מראה-רשת-שחור32-11",""
"paldinox","","https://paldinox.co.il/product/d28h7-מגש-מראה-עגול-זהב-2",""
"paldinox","","https://paldinox.co.il/product/סט2-מגשי-מראה-מלבן-זהב-39-30-33-27",""
"paldinox","","https://paldinox.co.il/product/מגש-מראה-אובלי-שחור-סמ-34-21",""
"paldinox","","https://paldinox.co.il/product/סט-6-קעריות-סלט-victoria-לבן-זהב-d14-new-bone-china",""
"paldinox","","https://paldinox.co.il/product/pip-chique-סט-2-סוכרון-ורוד-זהב-נפח-550-מל-2",""
"paldinox","","https://paldinox.co.il/product/heritage-סט-6-מאג-300-מל-ורוד-2",""
"paldinox","","https://paldinox.co.il/product/pip-chique-סט-4-קעריות-למרק-ירוק-זהב-קוטר-15-5-סמ",""
"paldinox","","https://paldinox.co.il/product/flower-festival-סט-6-מאג-350-מל-תכלת-3",""
"paldinox","","https://paldinox.co.il/product/6כוס-יין-340ml-סט6-כוס-יין-prestige-פס-זהב-2",""
"paldinox","","https://paldinox.co.il/product/מגש-מלבני-4028-ברונזה-ידיות-רגליים-h7",""
"paldinox","","https://paldinox.co.il/product/h13-d16-מגש-עגול-עם-רגל-ניקל-2",""
"paldinox","","https://paldinox.co.il/product/h7-קופסא-לתכשיטים-מראה-מכסה-26-17-marble-לבן-2",""
"paldinox","","https://paldinox.co.il/product/קופסא-h9-לתכשיטים-מראה-שחור-מכסה-30-30",""
"paldinox","","https://paldinox.co.il/product/winter-wonderland-סט-6-מגש-25-12-סמ-ירוק",""
"paldinox","","https://paldinox.co.il/product/flower-festival-סט-6-לביצים-אדום-תכלת-2",""
"paldinox","","https://paldinox.co.il/product/סכום-72-חל-shila-זהב-וכסף-2",""
"paldinox","","https://paldinox.co.il/product/סכום-24-חל-שחור-מט-tokyo-2",""
"paldinox","","https://paldinox.co.il/product/קערה-אובלית-רגל-380-princess",""
"paldinox","","https://paldinox.co.il/product/סט-3-אגרטלי-זכוכית-home-deco-ורוד-h13-14-5-15-5-2",""
"paldinox","","https://paldinox.co.il/product/סט-3-אגרטלי-זכוכית-home-deco-ורוד-h16-5-17-5-18-2",""
"paldinox","","https://paldinox.co.il/product/סט-3-אגרטלי-זכוכית-home-deco-ירוק-h13-14-5-15-5-2",""
"paldinox","","https://paldinox.co.il/product/אגרטל-מתכת-home-deco-ורוד-h36d21-2",""
"paldinox","","https://paldinox.co.il/product/אגרטל-מתכת-home-deco-אדום-h22d26-5-2",""
"paldinox","","https://paldinox.co.il/product/home-decor-מגש-אמייל-פרח-ירוק-26-30סמ-2",""
"paldinox","","https://paldinox.co.il/product/kyoto-festival-נר-בכוס-עם-מכסה-כחול-גובה-9-6-קוטר-11-7-סמ-2",""
"paldinox","","https://paldinox.co.il/product/h32-16-13-אגרטל-זכוכית-אפור-פסל-פורטרט-2",""
"paldinox","","https://paldinox.co.il/product/h16-d12-5-אגרטל-קריסטל-ציפוי-נחושת-2",""
"paldinox","","https://paldinox.co.il/product/1311-צדפת-קריסטל-2",""
"paldinox","","https://paldinox.co.il/product/משולש-דיקנטר-0754-2",""
"paldinox","","https://paldinox.co.il/product/פראג-דיקנטר-0-8-ליטר-2",""
"paldinox","","https://paldinox.co.il/product/גלאסיאר-סט-6-וויסקי-350-שחור-מט-2",""
"paldinox","","https://paldinox.co.il/product/princess-סט6-כוס-יין-פס-זהב-250-2",""
"paldinox","","https://paldinox.co.il/product/h16-%d7%9e%d7%a2%d7%9e%d7%93-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a2%d7%9d-6-%d7%9b%d7%a4%d7%99%d7%95%d7%aa-%d7%a4%d7%a8%d7%a4%d7%a8-%d7%95%d7%9e%d7%aa%d7%a7%d7%9f-%d7%9e%d7%aa%d7%9b%d7%aa-%d79--2",""
"paldinox","","https://paldinox.co.il/product/h25-5-מעמד-זכוכית-רקועה-עם-6-מזלגיות-אייל-ומת",""
"paldinox","","https://paldinox.co.il/product/royal-white-מגש-לנר-לבן-קוטר-14-סמ",""
"paldinox","","https://paldinox.co.il/product/פמוט-מתכת-home-decor-ורוד-h46-2",""
"paldinox","","https://paldinox.co.il/product/love-birds-%d7%9e%d7%92%d7%a9-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a2%d7%92%d7%95%d7%9c-%d7%a2%d7%9c-%d7%a8%d7%92%d7%9c-%d7%99%d7%a8%d7%95%d7%a7-%d7%92%d7%95%d7%91%d7%94-24-%d7%a7%d7%95%d7%98%d7%a8-23-%d7a-2",""
