docId,sku,name,price,cat,supplier,sourceUrl
"xQzmeJIpDZ7KLHZjQNrN","UK80057","גביע קידוש קריסטל מהודר גוון שחור 16 ס""מ","141.68","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80057&lang=he"
"xR3JGNDLYuMAe9DOF83i","UK42351","מחלק יין מסתובב קריסטל מהודר עם 6 כוסיות ""חלבי"" 25X33 ס""מ","435.58","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42351&lang=he"
"xT7xPiJRLDTLs4znlBxS","UK80198","ברכת הבית בלוק אקריליק מסגרת כסף","174.38","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80198&lang=he"
"xTTGRekCiG7Q4ww3c0ZI","UK46663","קערת פסח מפלסטיק כסף 38 ס""מ","37.04","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK46663&lang=he"
"xTZfkITf7qMWg0uW1QHC","UK19398","כיפה אולטרא סוויד כחול כהה 19 ס""מ ""מגן דויד"" כסף","26.14","כיפות","israel-judaica",""
"xV1m5eSdUFSM5irCztVC","UK82760","נטלה ""במבוק עבה"" עם הדפסה ""נטילת ידים"" 14 ס""מ","26.14","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82760&lang=he"
"xXMKOnInCwTigaofLXq8","UK41246","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 14 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK41246&lang=he"
"xZdTiUJ0znXVGpbG2uKA","UK67163","ברכת עליה לתורה דמוי עור 44x54 ס""מ","163.48","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK67163&lang=he"
"xaD1KqqsW1wXFfD0dvcZ","UK41223","פמוטי נסיעה מקריסטל ""מעויינים"" זהב 10x5 ס""מ","65.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK41223&lang=he"
"xaTqYfZa7aHgc7MsRzHN","UK40618","קופת צדקה פח מהודרת ""האש שלי"" 10 ס""מ","19.47","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40618&lang=he"
"xb5YbqeKKftY9KXlKmUg","UK42306","מעמד קריסטל לברכונים נוסח ספרדי 21X16 ס""מ עם 4 ברכ","217.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42306&lang=he"
"xci5POopCYYaavIQo9b8","UK40471","עט שחור מהודר עם כסף תפילת הדרך עברית 13.5 ס""מ","58.84","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK40471&lang=he"
"xdhWz8D12TojXwcE3Gbt","UK49382","מסגרת זכוכית חומה מהודרת מזמור לתודה 22X18 ס""מ","71.92","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49382&lang=he"
"xeR7lZxQSYtjChMDj1SE","UK66698","כיסוי חלה מהודר דמוי עור לבן עם הבלטות כסף 45x5","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66698&lang=he"
"xiHiJzd3aSrWagSLiRmY","UK81979","פמוט זכוכית עם 10 פמוטי קריסטל מהודרים 33 ס""מ","261.58","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81979&lang=he"
"xihB4vDwf7ldYJghO1JY","UK81188","כלי למצה מאקריליק שקוף עם נצנצים 21x23 ס""מ","119.88","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81188&lang=he"
"xjgY0wfjvfO5x3uGdQ02","UK82754","פמוטי קריסטל מהודרים 10 סמ","32.68","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82754&lang=he"
"xkaJQiGVWVi13GirDK4u","UK48265","נטלה אקריליק מהודרת שקופה עם פלקטה וידיות כסף 12","98.08","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK48265&lang=he"
"xl0jjlCSvSMX3XQnAdb4","UK66834","כיסוי חלה לבן מסטן עם ריקמה ""פותח את ידיך"" 48x58 ס""מ","26.14","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66834&lang=he"
"xlzvdEYZQgbg3ZaOPd4G","UK67204","כיסוי חלה מהודר דמוי עור לבן וזהב עם הבלטות 42x52 ס""מ","130.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK67204&lang=he"
"xmHsaRBvN0GuwZ3a4qHP","UK15512","כיפה בד מהודרת שחור מט גודל 2 17.5 ס""מ","8.97","כיפות","israel-judaica",""
"xmNfPV0ZtcFpSDl4tXoM","UK83235","ברכת העסק מלבן פרספקס מסגרת זהב 2025 ס""מ","54.48","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK83235&lang=he"
"xpcgvwFf9XILaZGdHZJP","UK60217","כיסוי חלה מהודר דמוי עור לבן עם זהב 45X55 ס""מ","141.68","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK60217&lang=he"
