supplier,holiday,sku,name,price,supplierPrice,variants,images,url
mysiddurname,פסח,MSN-5007,"סט מחזורים מעוצב כותל בצבע ורוד עתיק",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%9b%d7%95%d7%aa%d7%9c-%d7%91%d7%a6%d7%91%d7%a2-%d7%95%d7%a8%d7%95%d7%93-%d7%a2%d7%aa%d7%99%d7%a7/
mysiddurname,פסח,MSN-5006,"סט מחזורים מעוצב כותל בצבע אבן",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%a2%d7%95%d7%a6%d7%91-%d7%9b%d7%95%d7%aa%d7%9c-%d7%91%d7%a6%d7%91%d7%a2-%d7%90%d7%91%d7%9f/
mysiddurname,פסח,MSN-5005,"סט מחזורים כותל בצבע לבן זהב",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9b%d7%95%d7%aa%d7%9c-%d7%91%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f-%d7%96%d7%94%d7%91/
mysiddurname,פסח,MSN-5004,"סט מחזורים כותל בצבע לבן כסף",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%9b%d7%95%d7%aa%d7%9c-%d7%91%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f-%d7%9b%d7%a1%d7%a3/
mysiddurname,פסח,MSN-5003,"סט מחזורים קורדורוי בצבע חום חמרה",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%95%d7%a8%d7%93%d7%95%d7%a8%d7%95%d7%99-%d7%91%d7%a6%d7%91%d7%a2-%d7%97%d7%95%d7%9d-%d7%97%d7%9e%d7%a8%d7%94/
mysiddurname,פסח,MSN-5001,"סט מחזורים קורדורוי בצבע לבן",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%95%d7%a8%d7%93%d7%95%d7%a8%d7%95%d7%99-%d7%91%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f/
mysiddurname,פסח,MSN-5000,"סט מחזורים קורדורוי בצבע ורוד",399,399,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%95%d7%a8%d7%93%d7%95%d7%a8%d7%99-%d7%91%d7%a6%d7%91%d7%a2-%d7%95%d7%a8%d7%95%d7%93/
mysiddurname,פסח,MSN-5002,"סט מחזורים קורדורוי בצבע אבן סהרה",399,399,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%97%d7%96%d7%95%d7%a8%d7%99%d7%9d-%d7%a7%d7%95%d7%a8%d7%93%d7%95%d7%a8%d7%99-%d7%91%d7%a6%d7%91%d7%a2-%d7%90%d7%91%d7%9f-%d7%a1%d7%94%d7%a8%d7%94/
mysiddurname,פסח,MSN-10102,"מארז יין עם הגדה של פסח עם איורים בטכנולוגיית AI דמוי עור יוקרתי (יחידה)",179,179,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%94%d7%92%d7%93%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a1%d7%97-%d7%a2%d7%9d-%d7%90%d7%99%d7%95%d7%a8%d7%99%d7%9d-%d7%91%d7%98%d7%9b%d7%a0%d7%95%d7%9c/
mysiddurname,פסח,MSN-10090,"מארז יין עם הגדה של פסח עם איורים בטכנולוגיית AI דמוי עור יוקרתי",114.9,114.9,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%94%d7%92%d7%93%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a1%d7%97-%d7%90%d7%99%d7%95%d7%a8%d7%99%d7%9d-%d7%91%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95%d7%92/
mysiddurname,פסח,MSN-10078,"מארז יין עם הגדה של פסח דגם יציאת מצרים בכריכה קשה",94.9,94.9,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%94%d7%92%d7%93%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a1%d7%97-%d7%93%d7%92%d7%9d-%d7%99%d7%a6%d7%99%d7%90%d7%aa-%d7%9e%d7%a6%d7%a8%d7%99%d7%9d/
mysiddurname,פסח,MSN-10066,"מארז יין עם הגדה של פסח דגם סימנים",94.9,94.9,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%94%d7%92%d7%93%d7%94-%d7%a9%d7%9c-%d7%a4%d7%a1%d7%97-%d7%93%d7%92%d7%9d-%d7%a1%d7%99%d7%9e%d7%a0%d7%99%d7%9d/
mysiddurname,פסח,MSN-347889de23c3,"מארז הגדה לצד פרלינים שוויצרים בכשרות מהודרת – דגם סימנים",64.9,64.9,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%94%d7%92%d7%93%d7%94-%d7%9c%d7%a6%d7%93-%d7%a4%d7%a8%d7%9c%d7%99%d7%a0%d7%99%d7%9d-%d7%a9%d7%95%d7%95%d7%99%d7%a6%d7%a8%d7%99%d7%9d-%d7%91%d7%9b%d7%a9%d7%a8%d7%95%d7%aa/
mysiddurname,פסח,MSN-7519,"סט משפחתי של הגדות אביב לפסח",149,149,0,2,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a9%d7%9c-%d7%94%d7%92%d7%93%d7%95%d7%aa-%d7%90%d7%91%d7%99%d7%91-%d7%9c%d7%a4%d7%a1%d7%97/
mysiddurname,פסח,MSN-1558,"סט משפחתי של הגדות יוקרתיות לפסח – כסף",149,149,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a9%d7%9c-%d7%94%d7%92%d7%93%d7%95%d7%aa-%d7%99%d7%95%d7%a7%d7%a8%d7%aa%d7%99%d7%95%d7%aa-%d7%9c%d7%a4%d7%a1%d7%97-%d7%9b%d7%a1%d7%a3/
mysiddurname,פסח,MSN-1557,"סט משפחתי של הגדות יוקרתיות לפסח – זהב",149,149,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a9%d7%9c-%d7%94%d7%92%d7%93%d7%95%d7%aa-%d7%99%d7%95%d7%a7%d7%a8%d7%aa%d7%99%d7%95%d7%aa-%d7%9c%d7%a4%d7%a1%d7%97-%d7%96%d7%94%d7%91/
mysiddurname,פסח,MSN-1543,"סט לפסח דגם מתארחים",199,199,0,1,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9c%d7%a4%d7%a1%d7%97-%d7%93%d7%92%d7%9d-%d7%9e%d7%aa%d7%90%d7%a8%d7%97%d7%99%d7%9d/
mysiddurname,פסח,MSN-1531,"סט הגדות משפחתי לפסח עם איורים בטכנולוגיית AI דמוי עור",479,479,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%94%d7%92%d7%93%d7%95%d7%aa-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%9c%d7%a4%d7%a1%d7%97-%d7%a2%d7%9d-%d7%90%d7%99%d7%95%d7%a8%d7%99%d7%9d-%d7%91%d7%98%d7%9b%d7%a0%d7%95%d7%9c%d7%95/
mysiddurname,פסח,MSN-7665,"מארז הגדות כריכה קשה עם יין",299,299,0,1,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%94%d7%92%d7%93%d7%95%d7%aa-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94-%d7%a2%d7%9d-%d7%99%d7%99%d7%9f/
