id,source,name,code_or_url,reason,prevStatus,checkedUrl
"1DG0e74hEUeXOnHJ94Bw","paldinox","נטלה כסף מהודרת עם עיטור אבנים","https://paldinox.co.il/product/%d7%a0%d7%98%d7%9c%d7%94-%d7%a0%d7%99%d7%a8%d7%95-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%90%d7%91%d7%a0%d7%99%d7%9d-%d7%91%d7%9b%d7%a1%d7%a3/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a0%d7%98%d7%9c%d7%94-%d7%a0%d7%99%d7%a8%d7%95-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%90%d7%91%d7%a0%d7%99%d7%9d-%d7%91%d7%9b%d7%a1%d7%a3/"
"2BsqJ3y97xu0wB0JJTVf","paldinox","דיבשית להבה","https://paldinox.co.il/product/h15-%d7%93%d7%99%d7%91%d7%a9%d7%99%d7%aa-%d7%9c%d7%94%d7%91%d7%94/","not_at_supplier","active","https://paldinox.co.il/product/h15-%d7%93%d7%99%d7%91%d7%a9%d7%99%d7%aa-%d7%9c%d7%94%d7%91%d7%94/"
"2CCznTA65qXTrixtiCns","paldinox","סכין חלה נירוסטה עם ציפוי זהב לשבת והחגים","https://paldinox.co.il/product/%d7%a1%d7%9b%d7%99%d7%9f-%d7%a0%d7%99%d7%a8%d7%95%d7%a1%d7%98%d7%94-%d7%9c%d7%97%d7%9c%d7%94-%d7%a9%d7%91%d7%aa-%d7%95%d7%99%d7%95%d7%9d-%d7%98%d7%95%d7%91-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%96%d79-3/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a1%d7%9b%d7%99%d7%9f-%d7%a0%d7%99%d7%a8%d7%95%d7%a1%d7%98%d7%94-%d7%9c%d7%97%d7%9c%d7%94-%d7%a9%d7%91%d7%aa-%d7%95%d7%99%d7%95%d7%9d-%d7%98%d7%95%d7%91-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%96%d79-3/"
"2WF1akSs8JShtPk6C1ZJ","paldinox","חנוכיית פרחים מוכספת – רוחב 20 ס""מ","https://paldinox.co.il/product/h24-%d7%97%d7%a0%d7%95%d7%9b%d7%99%d7%94-%d7%a4%d7%a8%d7%97%d7%99%d7%9d-%d7%9e%d7%95%d7%9b%d7%a1%d7%a4%d7%aa-%d7%a7%d7%98%d7%a0%d7%94/","not_at_supplier","active","https://paldinox.co.il/product/h24-%d7%97%d7%a0%d7%95%d7%9b%d7%99%d7%94-%d7%a4%d7%a8%d7%97%d7%99%d7%9d-%d7%9e%d7%95%d7%9b%d7%a1%d7%a4%d7%aa-%d7%a7%d7%98%d7%a0%d7%94/"
"3SoWBT9oS1hpORxRf9bL","paldinox","סט קידוש ללא רגל בעיצוב ירושלים – כסוף","https://paldinox.co.il/product/%d7%a1%d7%98-%d7%9c%d7%a7%d7%99%d7%93%d7%95%d7%a9-%d7%9c%d7%9c%d7%90-%d7%a8%d7%92%d7%9c-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%9b%d7%a1%d7%95%d7%a3/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a1%d7%98-%d7%9c%d7%a7%d7%99%d7%93%d7%95%d7%a9-%d7%9c%d7%9c%d7%90-%d7%a8%d7%92%d7%9c-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%9b%d7%a1%d7%95%d7%a3/"
"5JU6IS1R7LNtY1dzHEhN","paldinox","נטלת מים אחרונים נירוסטה עם עיצוב גיאומטרי שחור וזהב","https://paldinox.co.il/product/%d7%9e%d7%99%d7%9d-%d7%90%d7%97%d7%a8%d7%95%d7%a0%d7%99%d7%9d-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%a9%d7%97%d7%95%d7%a8-%d7%96%d7%94%d7%91-%d7%92%d7%99%d7%90%d7%95%d7%9e%d7%98%d7%a8%d7%99-%d7%a0%d7%99-2/","not_at_supplier","active","https://paldinox.co.il/product/%d7%9e%d7%99%d7%9d-%d7%90%d7%97%d7%a8%d7%95%d7%a0%d7%99%d7%9d-%d7%a2%d7%99%d7%98%d7%95%d7%a8-%d7%a9%d7%97%d7%95%d7%a8-%d7%96%d7%94%d7%91-%d7%92%d7%99%d7%90%d7%95%d7%9e%d7%98%d7%a8%d7%99-%d7%a0%d7%99-2/"
"5Srh1ZnC6ToFgJT4umEp","paldinox","נטלה אקרילית כחול-סגול הדרגתי עם ידיות שקופות","https://paldinox.co.il/product/%d7%a0%d7%98%d7%9c%d7%94-%d7%90%d7%a7%d7%a8%d7%99%d7%9c%d7%99%d7%aa-%d7%9b%d7%97%d7%95%d7%9c-%d7%a1%d7%92%d7%95%d7%9c-%d7%94%d7%93%d7%a8%d7%92%d7%aa%d7%99-%d7%93%d7%9e%d7%93%d7%95%d7%9e%d7%99%d7%9d-2/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a0%d7%98%d7%9c%d7%94-%d7%90%d7%a7%d7%a8%d7%99%d7%9c%d7%99%d7%aa-%d7%9b%d7%97%d7%95%d7%9c-%d7%a1%d7%92%d7%95%d7%9c-%d7%94%d7%93%d7%a8%d7%92%d7%aa%d7%99-%d7%93%d7%9e%d7%93%d7%95%d7%9e%d7%99%d7%9d-2/"
"5yC6oeNU3vdX8g5WyhlH","paldinox","סט הבדלה 4 חלקים בעיצוב ירושלים כסף","https://paldinox.co.il/product/%d7%a1%d7%98-%d7%94%d7%91%d7%93%d7%9c%d7%94-4-%d7%97%d7%9c-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%9b%d7%a1%d7%95%d7%a3/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a1%d7%98-%d7%94%d7%91%d7%93%d7%9c%d7%94-4-%d7%97%d7%9c-%d7%99%d7%a8%d7%95%d7%a9%d7%9c%d7%99%d7%9d-%d7%9b%d7%a1%d7%95%d7%a3/"
"6FfsXsRwAkc0MydZ0hb1","paldinox","קופת צדקה נירוסטה בסגנון ארט דקו לבן וזהב","https://paldinox.co.il/product/%d7%a7%d7%95%d7%a4%d7%aa-%d7%a6%d7%93%d7%a7%d7%94-%d7%a0%d7%99%d7%a8%d7%95%d7%a1%d7%98%d7%94-art-deco-%d7%9c%d7%91%d7%9f-%d7%96%d7%94%d7%91-2/","not_at_supplier","active","https://paldinox.co.il/product/%d7%a7%d7%95%d7%a4%d7%aa-%d7%a6%d7%93%d7%a7%d7%94-%d7%a0%d7%99%d7%a8%d7%95%d7%a1%d7%98%d7%94-art-deco-%d7%9c%d7%91%d7%9f-%d7%96%d7%94%d7%91-2/"
"6sIhGhbOW1rBGyxdaHYX","paldinox","נטלה מים אחרונים כסף מבריק","https://paldinox.co.il/product/%d7%9e-%d7%9e%d7%99%d7%9d-%d7%90%d7%97%d7%a8%d7%95%d7%a0%d7%99%d7%9d-%d7%a4%d7%99%d7%9c%d7%92%d7%a8%d7%99%d7%9d-%d7%9e%d7%95%d7%9b%d7%a1%d7%a3/","not_at_supplier","active","https://paldinox.co.il/product/%d7%9e-%d7%9e%d7%99%d7%9d-%d7%90%d7%97%d7%a8%d7%95%d7%a0%d7%99%d7%9d-%d7%a4%d7%99%d7%9c%d7%92%d7%a8%d7%99%d7%9d-%d7%9e%d7%95%d7%9b%d7%a1%d7%a3/"
